Source;Human;Mouse;Function;Location;Target;Human;Mouse;Function;Location;Effects;Type of interaction;PubMedID
SHC;P29353;Q61120;Adapter;Cytosol;GRB2;P62993;Q60631;Adapter;Cytosol;0;Binding;8808684
GSK3;P49840;Q9WV60;Kinase;Cytosol;CREB;P16220;Q01147;TF;Nucleus;+;Phosphorylation;7798217
PKB;P31749;Q60823;Kinase;Cytosol;GSK3;P49840;Q9WV60;Kinase;Cytosol;_;Phosphorylation;8524413
PP2A;Q13362;Q80W65;Phosphatase;Cytosol;GSK3;P49840;Q9WV60;Kinase;Cytosol;+;Dephosphorylation;8524413
SHP1;Q96B97;Q9JLQ0;Phosphatase;Cytosol;JAK;O60674;Q62120;Kinase;Cytosol;+;Dephosphorylation;8943354
AP2;P53680;P61966;Adapter;Vesicles;SYNAPTOTAGMIN;P21579;P46096;Vesicle;Vesicles;0;Binding;8087843
GALPHA13;Q14344;P27601;Gprotein;Cytosol;RADIXIN;P35241;P26041;Adapter;Cytosol;+;Binding;10816569
RADIXIN;P35241;P26041;Adapter;Cytosol;ACTIN;P60712;P60711;Cytoskeleton;Cytosol;0;Binding;10816569
PKA;P17612;P05132;Kinase;Cytosol;RAP1;P10113;P10113;GTPase;Cytosol;_;Phosphorylation;8463283
PAFR;P25105;Q62035;Receptor;Membrane;GALPHAI;P08754;Q9DC51;Gprotein;Cytosol;+;Binding;8858930
CAMKIV;Q16566;P08414;Kinase;Cytosol;CREM;Q03060;Q01147;TF;Nucleus;+;Phosphorylation;7799965
CAMKIV;Q16566;P08414;Kinase;Cytosol;CREM;Q03060;Q01147;TF;Nucleus;+;Phosphorylation;8523736
AXIN;O15169;O88566;Adapter;Cytosol;APC;Q9H1A4;P53995;Adapter;Cytosol;0;Binding;9734785
NWASP;Q92558;P42337;Activator;Cytosol;ARP23;O15143;Q9WV32;Cytoskeleton;Cytosol;+;Binding;10781580
NWASP;Q92558;P42337;Activator;Cytosol;NIK;Q99558;Q9WUL6;Kinase;Cytosol;0;Binding;7565724
ARP23;O15143;Q9WV32;Cytoskeleton;Cytosol;ACTIN;P60712;P60711;Cytoskeleton;Cytosol;+;Binding;9600938
IKBB;Q15653;O54910;Adapter;Cytosol;NFKB;P19838;P25799;TF;Nucleus;_;Binding;8816457
IGF1;P01343;P05018;Ligand;Extracellular;IGF1R;P08069;Q60751;Receptor;Cytosol;+;Binding;8408032
PKG;Q13237;Q9Z0Z0;Kinase;Cytosol;ADPRIBSYCYCLASE;P28907;Q64277;Synthase;Cytosol;+;Phosphorylation;8663443
M1R;P11229;P12657;Receptor;Membrane;GALPHA11;P29992;P21279;Gprotein;Cytosol;+;Binding;14976183
M1R;P11229;P12657;Receptor;Membrane;RGS2;P41220;O08849;Gprotein;Cytosol;0;Binding;14976183
RGS2;P41220;O08849;Gprotein;Cytosol;GALPHA11;P29992;P21279;Gprotein;Cytosol;_;GAP;14976183
RGS2;P41220;O08849;Gprotein;Cytosol;GALPHAQ;P50148;P21279;Gprotein;Cytosol;_;GAP;14976183
M1R;P11229;P12657;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;14976183
RGS2;P41220;O08849;Gprotein;Cytosol;GALPHAI;P08754;Q9DC51;Gprotein;Cytosol;_;GAP;9736641
RGS2;P41220;O08849;Gprotein;Cytosol;GALPHAQ;P50148;P21279;Gprotein;Cytosol;_;GAP;9736641
M2R;P08172;Q9ERZ4;Receptor;Membrane;RGS2;P41220;O08849;Gprotein;Cytosol;0;Binding;9736641
MAPK;P28482;P27703;Kinase;Cytosol;KV42;Q9NZV8;Q9Z0V2;Channel;Membrane;+;Phosphorylation;12077183
MAPK;P28482;P27703;Kinase;Cytosol;KV42;Q9NZV8;Q9Z0V2;Channel;Membrane;+;Phosphorylation;11080179
IGF1R;P08069;Q60751;Receptor;Cytosol;VAV;P15498;P27870;GEF;Cytosol;+;Phosphorylation;11094073
P38;Q16539;P47811;Kinase;Cytosol;STAT;P42224;P42227;TF;Nucleus;+;Phosphorylation;10201984
AXIN;O15169;O88566;Adapter;Cytosol;GSK3;P49840;Q9WV60;Kinase;Cytosol;+;Binding;10196136
AXIN;O15169;O88566;Adapter;Cytosol;BETACATENIN;P35222;Q02248;TF;Cytosol;_;Binding;10196136
AXIN;O15169;O88566;Adapter;Cytosol;GSK3;P49840;Q9WV60;Kinase;Cytosol;+;Binding;9482734
AXIN;O15169;O88566;Adapter;Cytosol;BETACATENIN;P35222;Q02248;TF;Cytosol;_;Binding;9482734
GSK3;P49840;Q9WV60;Kinase;Cytosol;BETACATENIN;P35222;Q02248;TF;Cytosol;_;Phosphorylation;9482734
AXIN;O15169;O88566;Adapter;Cytosol;APC;Q9H1A4;P53995;Adapter;Cytosol;0;Binding;9556553
APC;Q9H1A4;P53995;Adapter;Cytosol;BETACATENIN;P35222;Q02248;TF;Cytosol;_;Binding;9556553
AXIN;O15169;O88566;Adapter;Cytosol;GSK3;P49840;Q9WV60;Kinase;Cytosol;+;Binding;9501208
AXIN;O15169;O88566;Adapter;Cytosol;BETACATENIN;P35222;Q02248;TF;Cytosol;_;Binding;9501208
GSK3;P49840;Q9WV60;Kinase;Cytosol;APC;Q9H1A4;P53995;Adapter;Cytosol;+;Phosphorylation;9601641
GSK3;P49840;Q9WV60;Kinase;Cytosol;BETACATENIN;P35222;Q02248;TF;Cytosol;_;Phosphorylation;9601641
AXIN;O15169;O88566;Adapter;Cytosol;GSK3;P49840;Q9WV60;Kinase;Cytosol;+;Binding;9601641
AXIN;O15169;O88566;Adapter;Cytosol;BETACATENIN;P35222;Q02248;TF;Cytosol;_;Binding;9601641
AXIN;O15169;O88566;Adapter;Cytosol;APC;Q9H1A4;P53995;Adapter;Cytosol;0;Binding;9601641
GSK3;P49840;Q9WV60;Kinase;Cytosol;APC;Q9H1A4;P53995;Adapter;Cytosol;+;Phosphorylation;8638126
APC;Q9H1A4;P53995;Adapter;Cytosol;BETACATENIN;P35222;Q02248;TF;Cytosol;_;Binding;8638126
AXIN;O15169;O88566;Adapter;Cytosol;MEKK1;Q13233;P53349;Kinase;Cytosol;+;Binding;11408485
AXIN;O15169;O88566;Adapter;Cytosol;MEKK1;Q13233;P53349;Kinase;Cytosol;+;Binding;12878610
AXIN;O15169;O88566;Adapter;Cytosol;MEKK4;Q9Y6R4;NA;Kinase;Cytosol;+;Binding;12878610
DISHEVELED;O14640;P51141;Adapter;Membrane;AXIN;O15169;O88566;Adapter;Cytosol;_;Binding;11027605
DISHEVELED;O14640;P51141;Adapter;Membrane;AXIN;O15169;O88566;Adapter;Cytosol;_;Binding;10862053
GALPHAI;P08754;Q9DC51;Gprotein;Cytosol;AC2;Q08462;Q91WF3;Cyclase;Cytosol;_;Binding;8327893
CREM;Q03060;Q01147;TF;Nucleus;CREB;P16220;Q01147;TF;Nucleus;_;Binding;1847666
GRB2;P62993;Q60631;Adapter;Cytosol;DYNAMIN;Q05193;P09922;GTPase;Vesicles;+;Binding;9452513
GRB2;P62993;Q60631;Adapter;Cytosol;DYNAMIN;Q05193;P09922;GTPase;Vesicles;+;Binding;8402898
GRB2;P62993;Q60631;Adapter;Cytosol;DYNAMIN;Q05193;P09922;GTPase;Vesicles;+;Binding;7505438
SRC;P12931;P05480;Kinase;Cytosol;DYNAMIN;Q05193;P09922;GTPase;Vesicles;+;Binding;7505438
TUBULIN;P05209;P05209;Cytoskeleton;Cytosol;DYNAMIN;Q05193;P09922;GTPase;Vesicles;+;Binding;7505438
JIP;Q9UQF2;Q9WVI9;Adapter;Cytosol;RASGRF;Q13972;P27671;GEF;Cytosol;+;Binding;12024021
SRC;P12931;P05480;Kinase;Cytosol;RASGRF;Q13972;P27671;GEF;Cytosol;+;Phosphorylation;10681520
JIP;Q9UQF2;Q9WVI9;Adapter;Cytosol;TIAM1;Q13009;Q60610;GEF;Cytosol;+;Binding;12024021
P38;Q16539;P47811;Kinase;Cytosol;ATF2;P15336;Q60765;TF;Nucleus;+;Phosphorylation;12024021
JIP;Q9UQF2;Q9WVI9;Adapter;Cytosol;P38;Q16539;P47811;Kinase;Cytosol;+;Binding;12024021
INTEGRIN;P05556;P09055;CellAdhesion;Membrane;RACK;P25388;P25388;Adapter;Cytosol;0;Binding;9442085
ARFGEF;Q9Y6D5;P97694;GEF;Vesicles;ARF;P32889;P32889;GTPase;Vesicles;+;GEF;8945478
ARFGEF;Q9Y6D5;P97694;GEF;Vesicles;ARF;P32889;P32889;GTPase;Vesicles;+;GEF;8945477
PKA;P17612;P05132;Kinase;Cytosol;CBP;Q92793;P45481;TF;Nucleus;+;Phosphorylation;15299023
STAT1;P42224;P42225;TF;Nucleus;CBP;Q92793;P45481;TF;Nucleus;0;Binding;9037008
STAT1;P42224;P42225;TF;Nucleus;CBP;Q92793;P45481;TF;Nucleus;0;Binding;9773981
STAT5;P42229;P42230;TF;Nucleus;CBP;Q92793;P45481;TF;Nucleus;0;Binding;9037008
STAT5;P42229;P42230;TF;Nucleus;CBP;Q92793;P45481;TF;Nucleus;0;Binding;9773981
NFKB;P19838;P25799;TF;Nucleus;CBP;Q92793;P45481;TF;Nucleus;+;Binding;9660950
PKG;Q13237;Q9Z0Z0;Kinase;Cytosol;CREB;P16220;Q01147;TF;Nucleus;+;Phosphorylation;10575022
CREB;P16220;Q01147;TF;Nucleus;CBP;Q92793;P45481;TF;Nucleus;+;Binding;8004670
CREB;P16220;Q01147;TF;Nucleus;CBP;Q92793;P45481;TF;Nucleus;+;Binding;7870178
CREB;P16220;Q01147;TF;Nucleus;CBP;Q92793;P45481;TF;Nucleus;+;Binding;7870179
CBP;Q92793;P45481;TF;Nucleus;PCAF;Q92831;Q9JHD2;TF;Nucleus;+;Binding;8945521
CREB;P16220;Q01147;TF;Nucleus;TFIID;P21675;Q8C092;TF;Nucleus;+;Binding;7906413
CREB;P16220;Q01147;TF;Nucleus;TFIID;P21675;Q8C092;TF;Nucleus;+;Binding;7615553
PKA;P17612;P05132;Kinase;Cytosol;DARPP32;Q9UD71;Q60829;Inhibitor;Cytosol;+;Phosphorylation;3339428
PKA;P17612;P05132;Kinase;Cytosol;DARPP32;Q9UD71;Q60829;Inhibitor;Cytosol;+;Phosphorylation;6296685
PKA;P17612;P05132;Kinase;Cytosol;DARPP32;Q9UD71;Q60829;Inhibitor;Cytosol;+;Phosphorylation;6319628
P53;Q12888;P70399;TF;Nucleus;CBP;Q92793;P45481;TF;Nucleus;0;Binding;9215639
CBP;Q92793;P45481;TF;Nucleus;TCF;P36402;Q00417;TF;Nucleus;_;Binding;9774110
CBP;Q92793;P45481;TF;Nucleus;BETACATENIN;P35222;Q02248;TF;Cytosol;+;Binding;10769018
CARM1;Q86X55;NA;TF;Nucleus;BETACATENIN;P35222;Q02248;TF;Cytosol;+;Binding;11983685
FIBRONECTIN;P02751;Q80Z71;Matrix;Extracellular;INTEGRIN;P05556;P09055;CellAdhesion;Membrane;+;Binding;6284125
DARPP32;Q9UD71;Q60829;Inhibitor;Cytosol;PP1;P36873;P37139;Phosphatase;Cytosol;_;Binding;9108011
DARPP32;Q9UD71;Q60829;Inhibitor;Cytosol;PP1;P36873;P37139;Phosphatase;Cytosol;_;Binding;6087160
SPAL;Q96FS4;Q61037;GAP;Cytosol;RAP1;P10113;P10113;GTPase;Cytosol;_;GAP;12059963
PKA;P17612;P05132;Kinase;Cytosol;BETA2AR;P07550;P18762;Receptor;Membrane;_;Phosphorylation;2987243
ARFGAP;Q8N6T3;Q9EPJ9;GAP;Vesicles;ARF;P32889;P32889;GTPase;Vesicles;_;GAP;1010276
RAP1GAP;P47736;Q61037;GAP;Cytosol;RAP1;P10113;P10113;GTPase;Cytosol;_;GAP;15141215
P1433;Q04917;P11576;Adapter;Cytosol;bRAF;P15056;Q99N57;Kinase;Cytosol;+;Binding;10931830
RGS4;P49798;O08899;GAP;Cytosol;GALPHAQ;P50148;P21279;Gprotein;Cytosol;_;GAP;9012799
GAIP;P49795;O70521;GAP;Cytosol;GALPHAQ;P50148;P21279;Gprotein;Cytosol;_;GAP;9012799
MYOSINPPASE;O60237;Q8BG95;Phosphatase;Cytosol;MYOSIN;Q92614;Q9JMH9;Cytoskeleton;Cytosol;_;Dephosphorylation;186030
MKP1;P28562;P28563;Phosphatase;Cytosol;P38;Q16539;P47811;Kinase;Cytosol;_;Dephosphorylation;8626452
MKP1;P28562;P28563;Phosphatase;Cytosol;MAPK;P28482;P27703;Kinase;Cytosol;_;Dephosphorylation;8626452
MKP1;P28562;P28563;Phosphatase;Cytosol;MAPK;P28482;P27703;Kinase;Cytosol;_;Dephosphorylation;8221888
MKP1;P28562;P28563;Phosphatase;Cytosol;JNK;P45983;Q91Y86;Kinase;Nucleus;_;Dephosphorylation;8626452
DISHEVELED;O14640;P51141;Adapter;Membrane;AXIN;O15169;O88566;Adapter;Cytosol;_;Binding;10330181
FAK;Q05397;Q60750;Kinase;Cytosol;SHC;P29353;Q61120;Adapter;Cytosol;+;Phosphorylation;10725339
PTEN;P60483;O08586;Phosphatase;Cytosol;FAK;Q05397;Q60750;Kinase;Cytosol;_;Dephosphorylation;9616126
PAR2;P55085;P30558;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;7937743
PAR2;P55085;P30558;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;8615752
PAR2;P55085;P30558;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;9349532
PAR2;P55085;P30558;Receptor;Membrane;GALPHAQ;P50148;P21279;Gprotein;Cytosol;+;Binding;9349532
TRYPSIN;P07477;P07146;Protease;Extracellular;PAR2;P55085;P30558;Receptor;Membrane;+;Binding;9349532
BETAARRESTIN;P49407;Q91YI4;Adapter;Cytosol;PAR2;P55085;P30558;Receptor;Membrane;_;Binding;10725339
AP2;P53680;P61966;Adapter;Vesicles;CLATHRIN;P09496;O08585;Vesicle;Vesicles;0;Binding;2912448
AP2;P53680;P61966;Adapter;Vesicles;CLATHRIN;P09496;O08585;Vesicle;Vesicles;0;Binding;1902233
AP2;P53680;P61966;Adapter;Vesicles;CLATHRIN;P09496;O08585;Vesicle;Vesicles;0;Binding;7559550
AMPAR;P42261;P23818;Channel;Membrane;AP2;P53680;P61966;Adapter;Vesicles;0;Binding;12441055
PYK2;Q14289;Q60629;Kinase;Cytosol;EGFR;P00533;Q01279;Receptor;Membrane;+;Phosphorylation;11274221
PYK2;Q14289;Q60629;Kinase;Cytosol;SRC;P12931;P05480;Kinase;Cytosol;+;Binding;11274221
ACTIN;P60712;P60711;Cytoskeleton;Cytosol;FASCIN;O94856;Q810U3;CellAdhesion;Membrane;0;Binding;8999969
PKC;P17252;P05697;Kinase;Cytosol;FASCIN;O94856;Q810U3;CellAdhesion;Membrane;_;Phosphorylation;8999969
SHC;P29353;Q61120;Adapter;Cytosol;SOS;Q07889;Q02384;GEF;Cytosol;+;Binding;8114695
ABL;P00519;P00520;Kinase;Cytosol;CDK5;Q00535;P49615;Kinase;Cytosol;+;Phosphorylation;11113134
TRKA;P04629;Q9Z139;Receptor;Membrane;GRB2;P62993;Q60631;Adapter;Cytosol;+;Binding;10748052
MEK2;Q9Y2U5;Q61083;Kinase;Cytosol;PRK2;Q9HC23;Q9QXU7;Kinase;Cytosol;+;Binding;10818102
RHO;Q07960;Q8C0D4;GTPase;Cytosol;PKC;P17252;P05697;Kinase;Cytosol;0;Binding;11284700
GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;AC1;Q08828;Q01341;Cyclase;Cytosol;_;Binding;2022671
GALPHAI;P08754;Q9DC51;Gprotein;Cytosol;AC5;O95622;Q01341;Cyclase;Membrane;_;Binding;8327893
TUBERIN;P49815;Q61037;GAP;Cytosol;RAP1;P10113;P10113;GTPase;Cytosol;_;GAP;7608212
SYNAPSIN;P17600;O88935;Vesicle;Vesicles;GALPHAZ;P19086;O70443;Gprotein;Cytosol;_;Binding;14557263
PKA;P17612;P05132;Kinase;Cytosol;SYNAPSIN;P17600;O88935;Vesicle;Vesicles;_;Phosphorylation;14557263
PAK;Q13153;O88643;Kinase;Cytosol;SYNAPSIN;P17600;O88935;Vesicle;Vesicles;_;Phosphorylation;14557263
D2R;P14416;P61168;Receptor;Membrane;GALPHAZ;P19086;O70443;Gprotein;Cytosol;+;Binding;10384262
D2R;P14416;P61168;Receptor;Membrane;GALPHAI;P08754;Q9DC51;Gprotein;Cytosol;+;Binding;10384262
FIVEHT1AR;P08908;Q64264;Receptor;Membrane;GALPHAZ;P19086;O70443;Gprotein;Cytosol;+;Binding;9407078
GALPHAZ;P19086;O70443;Gprotein;Cytosol;AC5;O95622;Q01341;Cyclase;Membrane;_;Binding;7829508
GALPHAZ;P19086;O70443;Gprotein;Cytosol;AC1;Q08828;Q01341;Cyclase;Cytosol;_;Binding;7829508
IKBA;P25963;Q9Z1E3;Inhibitor;Cytosol;NFKB;P19838;P25799;TF;Nucleus;_;Binding;2184941
CBL;Q13191;P22682;Ubiquitinase;Cytosol;VAV;P15498;P27870;GEF;Cytosol;_;Ubiquitination;12881521
CREM;Q03060;Q01147;TF;Nucleus;DREAM;Q9Y2W7;Q9QXT8;TF;Nucleus;_;Binding;12198160
CALCINEURIN;P06705;P61023;Phosphatase;Cytosol;DARPP32;Q9UD71;Q60829;Inhibitor;Cytosol;_;Dephosphorylation;6330098
PKA;P17612;P05132;Kinase;Cytosol;D1R;P21728;Q61616;Receptor;Membrane;_;Phosphorylation;7609904
SIAH;O43255;Q06986;Adapter;Cytosol;VAV;P15498;P27870;GEF;Cytosol;_;Binding;10207103
NMDAR;Q12879;P35436;Receptor;Membrane;ALPHAACTININ;Q08043;O88990;Cytoskeletal;Cytosol;0;Binding;9009191
NMDAR;Q12879;P35436;Receptor;Membrane;ALPHAACTININ;Q08043;O88990;Cytoskeletal;Cytosol;0;Binding;11246149
PSD95;P78352;Q62108;Adapter;Cytosol;ALPHAACTININ;Q08043;O88990;Cytoskeletal;Cytosol;0;Binding;9009191
DOK;Q99704;P97465;Adapter;Cytosol;RASGAP;Q8IV61;Q91ZC8;GAP;Cytosol;+;Binding;9233798
DOK;Q99704;P97465;Adapter;Cytosol;RASGAP;Q8IV61;Q91ZC8;GAP;Cytosol;+;Binding;9008161
ABL;P00519;P00520;Kinase;Cytosol;DOK;Q99704;P97465;Adapter;Cytosol;+;Binding;9008161
ABL;P00519;P00520;Kinase;Cytosol;DOK;Q99704;P97465;Adapter;Cytosol;+;Binding;12777393
EPHB2;P52799;P52800;Receptor;Membrane;DOK;Q99704;P97465;Adapter;Cytosol;+;Phosphorylation;9233798
EPHB2;P52799;P52800;Receptor;Membrane;RASGAP;Q8IV61;Q91ZC8;GAP;Cytosol;+;Phosphorylation;9233798
DOK;Q99704;P97465;Adapter;Cytosol;NCK;P16333;Q60631;Adapter;Cytosol;0;Binding;10202139
DOK;Q99704;P97465;Adapter;Cytosol;NCK;P16333;Q60631;Adapter;Cytosol;0;Binding;9233798
BETAARRESTIN;P49407;Q91YI4;Adapter;Cytosol;BETA2AR;P07550;P18762;Receptor;Membrane;_;Binding;11171997
AMPAR;P42261;P23818;Channel;Membrane;STARGAZIN;Q9BXT1;Q9BXT1;Chaperone;Cytosol;0;Binding;12359873
WNT;Q9Y6F9;P22724;Ligand;Extracellular;FRIZZLED;Q9UP38;O70421;Receptor;Membrane;+;Binding;8717036
WNT;Q9Y6F9;P22724;Ligand;Extracellular;FRIZZLED;Q9UP38;O70421;Receptor;Membrane;+;Binding;12857724
WNT;Q9Y6F9;P22724;Ligand;Extracellular;LRP;Q9BQ69;P00755;Receptor;Membrane;+;Binding;12857724
CBL;Q13191;P22682;Ubiquitinase;Cytosol;SRC;P12931;P05480;Kinase;Cytosol;_;Ubiquitination;11448952
CBL;Q13191;P22682;Ubiquitinase;Cytosol;PI3K;P42336;P42337;Kinase;Cytosol;_;Ubiquitination;11087752
CBL;Q13191;P22682;Ubiquitinase;Cytosol;SHC;P29353;Q61120;Adapter;Cytosol;_;Ubiquitination;11375397
CBL;Q13191;P22682;Ubiquitinase;Cytosol;EGFR;P00533;Q01279;Receptor;Membrane;_;Ubiquitination;11375397
CBL;Q13191;P22682;Ubiquitinase;Cytosol;GRB2;P62993;Q60631;Adapter;Cytosol;_;Ubiquitination;11375397
IRS1;P35568;P35569;Adapter;Cytosol;GRB2;P62993;Q60631;Adapter;Cytosol;+;Binding;8265614
KV41;Q9NSA2;Q03719;Channel;Membrane;PSD95;P78352;Q62108;Adapter;Cytosol;0;Binding;11723117
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;KV42;Q9NZV8;Q9Z0V2;Channel;Membrane;+;Phosphorylation;15071113
DREAM;Q9Y2W7;Q9QXT8;TF;Nucleus;KV42;Q9NZV8;Q9Z0V2;Channel;Membrane;_;Binding;12829703
DREAM;Q9Y2W7;Q9QXT8;TF;Nucleus;KV42;Q9NZV8;Q9Z0V2;Channel;Membrane;_;Binding;12451113
PKA;P17612;P05132;Kinase;Cytosol;KV42;Q9NZV8;Q9Z0V2;Channel;Membrane;_;Phosphorylation;12451113
DREAM;Q9Y2W7;Q9QXT8;TF;Nucleus;KV41;Q9NSA2;Q03719;Channel;Membrane;_;Binding;12829703
SNAP25;P60878;P60881;Vesicle;Vesicles;NTYPECA;Q00975;P97445;Channel;Membrane;_;Binding;8559250
SYNTAXIN;Q13277;O35526;Vesicle;Vesicles;NTYPECA;Q00975;P97445;Channel;Membrane;_;Binding;8559250
PKA;P17612;P05132;Kinase;Cytosol;TAU;P10636;P20357;Activator;Cytosol;+;Phosphorylation;6412713
CASK;Q9HCP0;Q8BTH8;Kinase;Cytosol;TAU;P10636;P20357;Activator;Cytosol;+;Phosphorylation;6412713
PKA;P17612;P05132;Kinase;Cytosol;TAU;P10636;P20357;Activator;Cytosol;+;Phosphorylation;1730702
CALPAIN;P07384;O35350;Protease;Cytosol;TAU;P10636;P20357;Activator;Cytosol;_;Cleavage;1730702
MAPK;P28482;P27703;Kinase;Cytosol;TAU;P10636;P20357;Activator;Cytosol;+;Phosphorylation;7488031
MAPK;P28482;P27703;Kinase;Cytosol;TAU;P10636;P20357;Activator;Cytosol;+;Phosphorylation;8166686
GRB2;P62993;Q60631;Adapter;Cytosol;GAB1;Q13480;Q9QYY0;Adapter;Cytosol;+;Binding;8596638
GAB1;Q13480;Q9QYY0;Adapter;Cytosol;PI3K;P42336;P42337;Kinase;Cytosol;+;Binding;8596638
M4R;P08173;P32211;Receptor;Membrane;EEF1A2;Q05639;P62631;Elongation;Ribosomes;+;Binding;12048193
M4R;P08173;P32211;Receptor;Membrane;GALPHAI;P08754;Q9DC51;Gprotein;Cytosol;+;Binding;7916637
M4R;P08173;P32211;Receptor;Membrane;GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;+;Binding;7916637
CALMODULIN;P62158;P62204;Activator;Cytosol;PLCBETA;Q9NQ66;P51432;Phospholipase;Cytosol;+;Binding;12821674
M4R;P08173;P32211;Receptor;Membrane;GALPHAI;P08754;Q9DC51;Gprotein;Cytosol;+;Binding;10347206
KAR;P39086;Q60934;Channel;Membrane;PSD95;P78352;Q62108;Adapter;Cytosol;0;Binding;12597860
KAR;P39086;Q60934;Channel;Membrane;SYNTENIN;O00560;Q99JZ0;Adapter;Cytosol;0;Binding;12597860
KAR;P39086;Q60934;Channel;Membrane;SYNTENIN;O00560;Q99JZ0;Adapter;Cytosol;0;Binding;11891216
KAR;P39086;Q60934;Channel;Membrane;PICK1;Q9NRD5;Q62083;Adapter;Cytosol;0;Binding;12597860
KAR;P39086;Q60934;Channel;Membrane;PICK1;Q9NRD5;Q62083;Adapter;Cytosol;0;Binding;11891216
PKA;P17612;P05132;Kinase;Cytosol;KAR;P39086;Q60934;Channel;Membrane;+;Phosphorylation;8094892
PKC;P17252;P05697;Kinase;Cytosol;KAR;P39086;Q60934;Channel;Membrane;+;Phosphorylation;12597860
KAR;P39086;Q60934;Channel;Membrane;GRIP;Q96CN9;Q9QYE6;Adapter;Cytosol;0;Binding;12597860
KAR;P39086;Q60934;Channel;Membrane;GRIP;Q96CN9;Q9QYE6;Adapter;Cytosol;0;Binding;11891216
CALCINEURIN;P06705;P61023;Phosphatase;Cytosol;GABAAR;P14867;P18504;Receptor;Membrane;+;Dephosphorylation;8888004
PKA;P17612;P05132;Kinase;Cytosol;AMPAR;P42261;P23818;Channel;Membrane;+;Phosphorylation;12843287
GBETAGAMMA;P11016;P11016;Gprotein;Cytosol;PQCaCh;O00555;P97445;Channel;Membrane;+;Binding;9009193
AMPAR;P42261;P23818;Channel;Membrane;GRIP;Q96CN9;Q9QYE6;Adapter;Cytosol;0;Binding;9069286
PKC;P17252;P05697;Kinase;Cytosol;NTYPECA;Q00975;P97445;Channel;Membrane;+;Phosphorylation;8380626
PKC;P17252;P05697;Kinase;Cytosol;NTYPECA;Q00975;P97445;Channel;Membrane;+;Phosphorylation;9278528
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;NTYPECA;Q00975;P97445;Channel;Membrane;+;Phosphorylation;9278528
SYNTAXIN;Q13277;O35526;Vesicle;Vesicles;NTYPECA;Q00975;P97445;Channel;Membrane;_;Binding;9278528
SNAP25;P60878;P60881;Vesicle;Vesicles;NTYPECA;Q00975;P97445;Channel;Membrane;_;Binding;9278528
SNAP25;P60878;P60881;Vesicle;Vesicles;NTYPECA;Q00975;P97445;Channel;Membrane;_;Binding;11312277
PICK1;Q9NRD5;Q62083;Adapter;Cytosol;AMPAR;P42261;P23818;Channel;Membrane;0;Binding;10340301
PKC;P17252;P05697;Kinase;Cytosol;PICK1;Q9NRD5;Q62083;Adapter;Cytosol;0;Phosphorylation;10340301
PKC;P17252;P05697;Kinase;Cytosol;AMPAR;P42261;P23818;Channel;Membrane;_;Phosphorylation;12805550
CALMODULIN;P62158;P62204;Activator;Cytosol;IP3R;Q14643;P11881;Channel;ER;_;Binding;7755592
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;RYR;P21817;Q80X16;Channel;ER;+;Phosphorylation;1645727
CALMODULIN;P62158;P62204;Activator;Cytosol;NMDAR;Q12879;P35436;Receptor;Membrane;_;Binding;9952395
NMDAR;Q12879;P35436;Receptor;Membrane;ALPHAACTININ;Q08043;O88990;Cytoskeletal;Cytosol;0;Binding;9952395
CALMODULIN;P62158;P62204;Activator;Cytosol;NMDAR;Q12879;P35436;Receptor;Membrane;_;Binding;8625412
SYNTAXIN;Q13277;O35526;Vesicle;Vesicles;GAT1;P43003;P56564;Transporter;Membrane;0;Binding;9698305
SYNTAPHILIN;O15079;P42567;Vesicle;Vesicles;SYNTAXIN;Q13277;O35526;Vesicle;Vesicles;_;Binding;10707983
SAP97;Q12959;P70175;Adapter;Cytosol;AMPAR;P42261;P23818;Channel;Membrane;0;Binding;12070168
SAP97;Q12959;P70175;Adapter;Cytosol;KAR;P39086;Q60934;Channel;Membrane;_;Binding;9808460
HOMER;Q9NSB8;Q99JP6;Adapter;Cytosol;RYR;P21817;Q80X16;Channel;ER;+;Binding;12223488
MLK3;Q02779;Q60700;Kinase;Cytosol;MEK4;P45985;P47809;Kinase;Cytosol;+;Phosphorylation;8702571
PAK;Q13153;O88643;Kinase;Cytosol;LIMK;P53667;P53668;Kinase;Cytosol;+;Phosphorylation;10559936
ROCK;O75116;P70336;Kinase;Cytosol;LIMK;P53667;P53668;Kinase;Cytosol;+;Phosphorylation;10652353
CALMODULIN;P62158;P62204;Activator;Cytosol;DAPK;P53355;Q8VDF3;Kinase;Cytosol;+;Binding;9367156
SMACDIABLO;Q9NR28;Q99M73;Inhibitor;Mitochondria;XIAP;P98170;Q60989;Inhibitor;Cytosol;_;Binding;10929712
