Entry	Cross-reference (RefSeq)
Q4LE61	
Q4G0E9	
Q53RD3	
Q58EZ8	NP_001239085.1;NP_056280.2;
Q67AL3	
Q6FII2	
Q3BBU4	
Q59FH9	
Q6ZS76	
Q4W5L9	
Q6PJ10	
Q96SC2	
Q5H934	
Q8IZK2	
Q3LRI9	
Q59FW9	
Q9HBP7	
B4DQL8	
Q57Z90	
Q9UF24	
Q6LBS1	
Q7KZJ7	
Q5XM85	
Q96T67	
Q6Y4Q7	
Q3HNF7	
B6CDM6	
B5BUM4	
B5MDG6	
B4DUE4	
B7Z1V4	
B7Z1Q6	
B7ZAU0	
B9TWZ8	
B7ZL68	
B4DN71	
B4E3N9	
Q59FS3	
C4NXB9	
C0KLQ2	
Q75MM9	
B7Z5Q0	
B7Z6I9	
B6CAV6	
B7Z9Z2	
C6K4K5	
C3W973	
B4DYG7	
B9TX08	
C9D583	
C9JFC1	
C9JHY1	
H7BXQ2	
C9JAE4	
C9J1V2	
C9JSR1	
V9H0C7	
C9JIZ3	
C9JRA9	
C9JNW0	
C9JDY4	
C9WCV9	
C9J6N5	
C9JBK3	
C9J6I8	
C9JG62	
D2DKN2	
D3U3K8	
D3U4F0	
D4HPC1	
C9JA03	
D6MJC7	
D6MKV9	
D1MDP2	
D5FZT2	
D6REJ9	
D2CTD7	
D6RGJ1	
D5KN10	
D7NQU4	
D6RC57	
E0X068	
D9UAX5	
E1U670	
E3Q1H9	
D7NPQ3	
A0A0A0MT00	
D9UAT3	
E2GJG3	
D6ML56	
E5D6K5	
E2GJK1	
E5RJB6	
E7BYD2	
E7EME3	
E5RJT5	
E7EQF8	
E7ESZ1	
E9ABI2	
E9PHN7	
E9PB77	
E9PL46	
E9PP31	
E9PQB0	
E9PP44	
E9PKF0	
E9PRN0	
E9PID0	
E9PSB5	
E9PP00	
E9PJ78	
F1CCP4	
F1CCJ5	
F2VNC4	
F2Z3H0	
F5BCX1	
H3BNQ7	
F5GY11	
F5H457	
J3KSY5	
J3KRL2	
F5H1N9	
F5H0W5	
A0A068BI53	
F5H0U5	
F5H7M0	
J3KSW4	
A0A090N8Y0	
A0A097Q961	
O19759	
Q29820	
Q29937	
Q49U52	
O19771	
Q2PEF9	
Q461N2	NP_079410.4;
Q305K6	
Q53EN0	NP_001278931.1;NP_055302.1;
O19689	
Q53S54	
Q15098	
Q4G155	NP_976230.1;
Q3SYD8	
Q5QR56	
Q5FBW4	
Q4VAY2	
Q59EM0	
Q6NVZ4	
Q6ZRW6	
Q6XMI6	
Q70LR5	
Q571Q4	
Q67AM0	
Q6FH22	
Q67AJ9	
Q68D33	
Q71RC4	
Q8IV39	
Q8NFB6	
Q8TCA4	NP_000094.2;NP_112503.1;
Q8N2U4	
Q7KZ28	
Q6PGP6	
Q8TBV9	
Q96EB9	
Q86YN0	NP_002548.3;
Q9HD56	
Q9P1H7	
Q8MGZ8	
Q96B14	NP_859526.1;
Q8IWT9	
Q9BVU3	NP_076965.2;
Q9TPE1	
Q9HAY0	
Q9Y455	
Q7Z6E7	
A2MYD4	
A2VDH9	
Q71UE9	
Q96TB5	
Q9UFF2	
Q6RAS3	
A0SYP7	
Q8WY57	
Q9GIN2	
A5XEH6	
A2BCQ6	
Q96LK5	
A2CEL3	
A6QL61	
A8K7F3	
A6NJB5	
A8K7Y5	
Q05D03	
A7WPM9	
E5RFH8	
Q45WA4	
Q53HV1	
Q59F75	
Q14CE1	
A2NYU9	
Q53SA3	
Q6ZV00	
Q75MI5	
Q86VA8	NP_598328.1;
Q5HYC4	
Q9NSR3	NP_116586.1;
Q06HC1	
Q08AJ6	
Q96LU8	
Q6P5Q2	
Q53F69	
Q8WXY5	
Q0KH90	
Q9NZE0	
B2KX90	
B2R6R6	
Q6ZRL6	
B3GW70	
B3KMB2	
B3KM95	
B3KXA7	
B3KXQ8	NP_056493.3;
B3KY31	
B3KMF9	
B3KN79	
B3KP95	
B4DKZ2	
B4DLX7	
B4DIA7	NP_001269841.1;
B4DM67	
B4DH43	
B4DJ95	NP_001266280.1;
B4DK95	NP_078922.1;
B4DM57	
B4DP20	
B4DMR0	
B4DQ17	
B4DZW9	
B4E0E8	
B4DV28	
B4DV97	
B4DQR3	
B4DQR8	
E5RH18	
B4DKR6	
B4DVP8	
B4DRG7	NP_001268640.1;
Q05DU0	NP_057108.2;
B6ECB0	
B5A224	
B4DF11	
B4E3I3	
B7SEW4	
B6EBD9	
B7Z8E8	
B7Z4R7	
B7Z1I8	
B7Z1E7	NP_003315.2;
C0MP08	
B9EG96	
B7ZAV8	
B9EG60	
C1KAF0	
B7ZB27	
C6K4M8	
C5J003	
C8YZ26	NP_001184249.1;
C8XTJ1	
C7FNH8	
C9J7S5	
C9J5F9	
C8CJC5	
C9JD13	
C9E8V2	
C9JVW8	
C9JAD7	
D0QYQ9	
V9H046	
Q5TFK1	
D2DL20	
D0EM86	
D3VVG9	
D3K4I2	
C9JU56	
V9H072	
D3VVI3	
D5FID9	
D3VVS7	
D5FUG2	
D2DKJ6	
D5FHP9	
D6MKX2	
C9K0R4	
D7NNZ8	
D6CJD7	
D6R9Q6	
D6RIG3	
C9JJM3	
D7NQU6	
D6C6G0	
D7NP44	
D6ML53	
E0X611	
E0X9K1	
E1U1M6	
E1U680	
E3SGD1	
D5H3W0	
D0EP74	
D6RAE1	
E5RIY1	
A0A090KF09	
A0A096YC52	
O19529	
Q13373	
O78079	
Q29791	
Q6NVX3	NP_004600.2;
Q6PKI5	
Q6LD14	
Q6LCG8	
Q6UWI1	
Q71VN3	
Q6ZW80	
Q6TGM5	
Q75MD1	
Q7Z5F9	
O43696	
Q8N9J6	
Q96SP2	
Q9NZ46	
Q9UPK8	
Q9NPQ7	
Q8IWX4	
A0S6X3	
Q9NRU0	
Q6ZUG0	
Q8NB52	
Q8NH34	
A0AQY2	
Q8WZ21	
B6ZGU2	
Q9Y6D3	
Q9UMI6	
Q8N9Z6	
Q9Y4L6	
O95973	
Q99993	
Q17RV3	NP_940980.3;
Q8IW90	
O43459	
Q209I1	
Q19K87	
O15095	
I6L9A0	
Q32Q25	
Q1W4D6	
Q29674	
Q2LDE4	
Q53GB2	
Q49U70	
Q53EW4	
Q49U35	
Q53TI5	
Q53F65	
Q53H26	
Q567U8	
Q59GW7	NP_001193730.1;
Q59H32	
Q59EF9	
Q59GV1	
Q569L6	
Q59FJ5	
Q687H3	
Q569H2	
Q53EN2	
Q59H91	NP_001093422.2;NP_001161744.1;NP_002213.5;
Q68D58	
Q5JZM7	
Q6B7S7	
Q67AB3	
Q6EVJ4	
Q6MZV5	
Q4KMG6	NP_061759.1;
Q5XLQ3	
Q70Q09	
Q0MTB9	
Q8IXE9	
Q8WY86	
Q8MH27	
Q96FM8	
Q6ZS31	
Q8WY74	
Q96CE2	
Q6PK75	
Q5I6Y5	
Q9HBC5	
Q9MYD4	
A0PJE4	
A0PJ85	
V9GYF5	
Q92788	
A1YZ08	
Q96PT0	
A0SEH4	
Q6UW46	
Q9NZ69	
A1Z5I6	
Q71RA6	
Q59GR9	
A0SD91	
A2TEM6	
A1YZI7	
A1YBP1	
A1A4S2	
V9GYF8	
A4Z7H3	
A4ZMY2	
A5LIN1	
A5D8X6	
A6NDY5	
A6NE70	
A7L5K9	
A7UP04	
A5HC25	
A7MBM6	
Q9UKM0	
A7X5A5	
A6NHE2	
A8K9R8	
A7E212	NP_004012.1;
A8MTP4	
A5XEJ5	
J3KNF5	
A8K6G9	
O95597	
E2QRC0	
Q0D2I8	NP_000839.1;NP_001135840.1;
Q05C09	
Q20WK9	
Q06RK2	
Q1RMY5	
V9GYC8	
Q9GIN1	
B0AZU0	
A6ZGZ8	
A8JYI8	
Q05CV2	
B2R8R5	
B2RBC6	
B2R7Y7	NP_001036.1;
Q6PJY9	
B2RCZ6	
B2RBM2	
B2WRF9	
B3KP83	NP_001372.1;
B3KXP8	
B3KYA8	NP_001177752.1;
B4DEX0	
B3KWJ4	
B4DL92	
B4DE02	
B4DM01	
B4DSF8	
B4DM56	NP_001139475.1;NP_079076.3;NP_665917.1;
B4DS78	
B4DXR2	
E0D852	
B3KM78	
E5RH38	
B4DTZ8	
B4DLC4	
E5RH36	
B4DI95	
B4DX45	
B4DGZ9	NP_001277214.1;
E5RGH2	
B4DU83	
B4DIA5	NP_001269071.1;XP_006724612.1;
B4E2G7	
B4DUA2	
B4DZ47	
B4DG79	NP_001229956.1;NP_001229957.1;
B4DN41	
B4DKC1	
B4DJ73	
B7TQM4	NP_001159474.2;
B7Z515	
B7ZAG5	
B7Z328	
B7ZLW5	NP_001269866.1;
B6CH46	
B4YCG0	
B7ZM42	
B9VJ52	
C0M108	
B7ZLZ1	NP_001257335.1;
B7ZW01	
B9EGI2	
B5B8Y8	
B8Y1X4	
B7Z3Y2	
C6GLQ0	
C7AZ55	
C7C4Z8	
C3VJ06	
C7FDS7	
C7E583	
C7FDS8	
C6K4J0	
V9GYW1	
B8XCX8	
C8C068	
C9J055	
C9JNG5	
C9JEC5	
C9JM64	
C9JT45	
C9JWK5	
C9JXR6	
C9J387	
C9JLV2	
C9JYN0	
D3U3V7	
D3JV38	
D5FUE4	
D5FHL8	
C9JQS9	
D2DKM4	
D4HPA8	
D6RHI9	
D6RIR6	
A0A0A0MR41	
D6RAE4	
D5L9B8	
D6RAL1	
A0A0A0MRD8	
A0A0A0MSW4	
V9H1E3	
D6RIX4	
E5DCL6	
E5RJY6	
E5DCP8	
D6MJK7	
E5G0Z1	
E7ETB0	
E7EUC4	
E5DCR2	
E5RK89	
E8Z918	
E9PCP0	NP_001284500.1;
E9NPN4	
E9PGX4	
E9PD17	
E9PN91	
E9PQM3	
E9PQL8	
F2YL84	
E9PQX8	
H7CI03	
E9PIX5	
E7E4L2	
B1AKL4	
E9PM16	
F2VP58	
E7EQS5	
H3BUK1	
B1AH48	
E9PIE4	
B8ZZA5	
F4YZU8	
F4YTD8	
F5H7I4	
F4MHC1	
F5H7Q5	
F6IQK6	
F5H1A3	
F6KS44	
F6KRN8	
F8R195	
F8VQZ2	
F8VR37	
F8VWH5	
F8W7Y5	
Q5T6W8	
Q5TBG1	
F8WBE0	
F8SKT9	
G0ZDX0	
G0ZMK0	
G1EMZ4	
G1EPG9	
G0ZMG7	
G3V589	
G1EML0	
G3V3T6	
G3V3C0	
G3V5P9	
G5CCM8	
G3V5L2	
B0QY91	
H0Y8M2	
H0YA19	
H0YAX0	
H0YA43	
G9IFC7	
H0YD62	
H0YE22	
H0YA85	
H0YDC8	
H0YH60	
H0YDB5	
H0YCB7	
H0YHX0	
H0YLM0	
H0YML2	
H0YDE2	
H0YBG4	
G9LJS3	
A2A300	
H0YHB7	
H0Y3M2	
H0Y7R9	
H0Y6A7	
H0YAK6	
H0Y4N0	
H0Y3U4	
H0Y8G7	
H0YH41	
H0YBY9	
Q5JV61	
H0YLN6	
H0YC41	
H0YCV2	
H0YCN7	
H0YEC1	
H0YCU8	
H0Y4G9	
H3BLU4	
H2BE85	
H7C017	
H3BT58	
H7BYK2	
H7C5M5	
H7C3I2	
H3BU31	
H3BTZ6	
H7C4Q1	
H3BTH7	
H3BRX7	
H6V075	
H9E7A2	
I1VE14	
I3L2W5	
I3L4E7	
I2B2Z3	
I3L2A7	
I4EPF8	
I4EC16	
I3L2N2	
I3L3H7	
I3L3L3	
I6NWP7	
I7FPJ7	
I3VZ04	
I7LL22	
J3QK89	
J3QS28	
J7HGX9	
J7F580	
J7K7F8	
K7EJI3	
K7R1R8	
K7P5T0	
K7EJS7	
A8K8Q0	
A8K5F7	
K7ERD7	
K7EN89	
L0R4W7	
K9L7E0	
L0BXI7	
A8K8T3	NP_001534.1;
K7ERR6	
B2R6A9	
B2RD48	NP_071888.1;
B2RBG6	
B2R879	NP_653308.2;
B1B6Q4	
B2RD46	XP_006722578.1;
B3KMD8	NP_003175.1;
B3KUK8	
B3KRX2	
B4DRF7	
B4DR82	NP_001277115.1;
B4DL83	
B4DRZ0	
B4DS19	
B3KW10	
B3KRV8	NP_001073312.1;NP_060236.3;
K7EIT8	
B4DSU7	NP_001137245.1;
B4DZS3	
B3KSV0	
B3KWI4	NP_570843.2;
B4E3N1	
B4DYV7	
B4DYI6	XP_005252129.1;
E5RFK0	
B4DHP4	
E5RFU3	
B4DR62	NP_001129521.2;NP_149018.2;
B4E383	
B4DDS2	
B4DVG9	
B4DW03	
B4DW97	
B4DQ22	
B4DGK9	XP_006722001.1;
B4DID6	
B4DWB3	
B4DTT7	
B4XAL0	
B7Z2G7	
B7Z6R4	NP_001268388.1;
B7Z5C8	
B7Z9A1	NP_001153172.1;
B7ZL06	NP_001164627.1;NP_001164630.1;
B7ZLA9	
B7Z7V0	
C0LAB3	
B8ZZR0	
C4AM88	
B5MCA9	
C0LJA9	
F8WJN4	
B7ZAX4	NP_001171187.1;
C7E572	
C4P0B2	
C1KBJ7	
C8CD01	
C8Y200	
C9E1G2	
C9J6N7	
C9JFW8	
C9J115	
C9JVC2	
C9J5S6	
C9JS07	
C9WCX7	
C9JHV0	
C9JJ39	
C9JPP7	
C9J5W5	
C9JTY3	
D2KZ30	
D3U3U7	
D3JV11	
D3VVR7	
D6CJC8	
C9JUY2	
D6MKV3	
D5M8C7	
D7RJ47	
V9H0F5	
D6RAD2	
D1MZT7	
D6RE63	
D7NPN1	
C8C3Y9	
D5M8F6	
D6R9S4	
D9UAV9	
D6RAI2	
D9ZHP6	XP_005269501.1;
D7NNS2	
D6RCD8	
E0WBT4	
E0X9Q8	
E0YTN6	
E2DHB3	
E1Y3Y5	
E0YTP3	
E1XUP9	
D7GM34	
E1Y6P7	
E0WN57	
E2GJN5	
H3BMP2	
H3BU80	
H7C0D8	
H7C153	
H7C4Z4	
H7C2D7	
E5RIJ7	
E3WH37	
E7ENK1	
E5RJM1	
E3SWQ2	
E5RJY1	
H7C5J7	
E7ESM1	
A0A0A0MQR1	
E7ETP7	
E7EU13	
E5RJB8	
E7EPA0	
A0A0A0MSA0	
E7ET40	
E9LBP6	
E9PDL8	
E3T203	
H7C3J5	
E9PKQ5	
E9PJ96	
E9PLD7	
E9LY56	
F1AQR1	
E9PKQ7	
E9PI06	
E9PS70	
E9LXZ7	
F2Z2T0	
E9PJ57	
F2VNJ2	
F2VYJ0	
F2Z3J5	
F2VNJ3	
E9PM47	
H7C219	
H7C4K4	
H3BUK8	
E9PQ06	
B9A070	XP_005246152.1;
F4NBQ5	
B0QYK8	
F5GWJ6	
F5GYY1	
F5H2A2	
F6IQE8	
F8R113	
F8VU19	
F4NBV8	
F6KSZ4	
F6T5D1	
F8LFZ5	
F8W1W1	
F8R8L1	
F8WA97	
F8W086	
F8WD24	
F8VY00	
F4YTF8	
F8VZ29	
F8VWW9	
F8WF25	
F8VW66	
F8WEE0	
F8WBQ1	
Q5JX45	
Q5HY40	
F8WAW7	
Q5T6G7	
F8WAZ6	
F8VWX0	
Q5T2B7	
F8RHM7	
G0Z8D4	
G0ZMJ6	
G1ENJ6	
G1EPN4	
G1EP87	
G1EP76	
Q5T7U8	
G3D6G2	
G3V4Q6	
G1EQ00	
G3V5J4	
G4XPL8	
G3V5R9	
G1FFF1	
G3V5E0	
G9FJH6	
G8B1X7	
G9I2M2	
G9MCL2	
G9LE82	
H0YDD2	
H0YEG2	
H0YG47	
H0Y393	
H0Y4R9	
H0Y507	
H0YMP3	
H0YL35	
H2BEB5	
Q5T290	
Q5VU10	
H3BNM0	
H3BSZ7	
H3BS44	
H7C0M6	
H7C4N7	
H7C2B2	
H7C540	
H7C1N4	
H3BRA3	
H7C4C1	
H7C2C2	
H3BTI2	
H7BZY9	
I0J0A3	NP_001265087.1;
H3BTP8	
H2DML1	
H9C3J8	
I3L0R8	
I3L3S2	
I3L457	
I4IY78	
I6YW19	
I3Q8L5	
J3QQM4	
J7F8K9	
K4HSH7	
K7EKY8	
K7ERE3	
K7EJV3	
K7ES48	
K7EID3	
K7ELP7	
K7EK23	
K9M1U2	
L0R6E0	
K7EQD4	
K9LC07	
B0QZ02	
F5GXZ7	
C9JLV4	
F8RHH6	
F6WZH4	
F8VY45	
F8W7F3	
F8WCU7	
B1AM48	
F8WAX7	
F8W1L6	
B1AKB7	
F8R103	
F8WDV7	
F8SXX6	
F8WE99	
F8VQQ6	
L8E9M6	
L8EAH4	
L8ECL8	
M0QXK2	
L7Z660	
L8ECD2	
Q5VZL8	
Q5T446	
L8ECC7	
L8EB13	
Q5JWQ6	
G0KXH1	
L8ECE9	
G1EMU4	
G1EQ67	
G1UI27	
G1ENL4	
G3DR69	
G1EQK0	
G3V3P0	
G3C9Y1	
G3V2U1	
G1EMX4	
G3V4M1	
G3V475	
G3V3G6	
G3V4J1	
G3C9V6	
G4V4Z8	
B7ZB98	
G9DBH2	
G9LE20	
H0YAP9	
H0Y9Y1	
H0YAF9	
H0YD47	
H0YD41	
H0YDP1	
H0YHX1	
H0YD50	
H0YM59	
H0YD25	
H0Y687	
H0YNX4	
H6UV86	
H7C1D0	
H3BNR3	
H7C2G1	
H3BMW7	
H7C2S9	
H0YHY8	
H7C3U0	
H9C3I1	
H3BPD0	
H7C4L0	
H9E8D7	
H9RGG5	
I3L0S4	
I3L1F2	
H7C1E8	
I3L331	
H9RM84	
I3UI79	
A0A0A0MT32	
I3L294	
H9LH24	
A0A0A0MS53	
E7ETA6	XP_005273578.1;
E7BYD5	
E5RKA1	
E7ETM0	
E5RJS4	
E9LY59	
E7ETC9	
E9PFN4	
E9PJP0	
E9PKS9	
E9PM71	
E9PMM9	
E9PLI3	
I3L2F4	
E9PSE9	NP_001269986.1;
E9PRT0	
E9PLK4	
E9PHN6	
E9PPW1	
E9KXV3	
E9PS09	
E9PN43	
I4EPI9	
E9PIT4	
E9PRU6	
E9PQ69	
F2Z349	
F2Z2S2	
F2X676	
F2X5X4	
F2VNU8	
F4MHM1	
F4NBK9	
F5H2Q3	
F5H3F3	
F5H800	
F5GZA7	
F4NBX5	
F5H397	
F5H6U2	
F8VNX2	
F8WAY5	
Q5THA1	
F5GWR3	
J3KTH9	
F8SL08	
F6IQI6	
F8WD03	
F8R1D1	
F8R8K9	
F8WAW4	
F8VRR0	
F8VSC7	
F8WFA0	
F5H4X9	
J3KT42	
F8WDM7	
Q5VWJ6	
F8VWW4	
F8WDV3	
G1EPH8	
G1EPP8	
G1EPZ6	
G1EPX7	
G3V2U6	
G3V1W4	
G3V2V5	
G3DR79	
G0ZDU3	
G4VYZ1	
G3V4U1	
G3V3K8	
G3V431	
G3V2V1	
G9HRP5	
G9I2L6	
H0Y3R8	
H0YI01	
H0YF08	
H0YCQ5	
H0YN28	
H0Y561	
Q5JRY5	
H0YDJ3	
H0YNA2	
H0YCS5	
H0YIV4	
H0YCV7	
H0YCL0	
H0YLY7	
G9HW70	
H0YDX0	
H0YBI2	
H3BMR1	
H2EL73	
H3BU93	
H7BZ67	
H3BSS6	
H7C546	
H3BSB5	
H7C374	
H1ZZW4	
H3BU81	
H3BRW3	
H9MQS6	
H8WV66	
I0EZ71	
I3L467	
I3L355	
I3L4S6	
H9E7H5	
H7C265	
I6NXJ0	
J3QL12	
J3QQW1	
J3QRJ3	
J7GHV2	
J7K480	
K7EKF8	
K7ENY0	
K7QX51	
K7EQW0	
K7EMV0	
K9L8C3	
L0R6I7	
L8EAD2	
L8ECQ5	
L8E9A6	
L8ECA8	
L8EC72	
M0R113	
M0R1T1	
L8E974	
M0QY30	
M0R0I1	
M0R2X4	
M4NBL3	
M9VP12	
M4VP52	
M9WP43	
R4IA65	
S6BGE5	
S4R369	XP_005270977.1;
S6A6J7	
T1R355	
S4R3Q3	
U3KQ60	
U3KQ64	
U3KPX4	
U5YEC6	
U5YCH8	
U5XGV3	
U5YF14	
A0A595	
Q499G6	NP_001157108.1;NP_001509.3;NP_127492.1;NP_127493.1;NP_127494.1;
U3LDR4	
Q4W5H5	
Q53HD9	
Q59EQ6	NP_001182555.1;NP_004632.1;
Q59HB4	
Q5DVQ0	
Q5FBZ1	
Q99891	
Q9TQJ3	
Q3LFI8	
Q305M9	
Q4W5N0	
V5JAE3	
Q53TH3	
A0PJ62	
A2IPI5	
V5NQW1	
A4FUA1	
A0RZH4	
A6ZHJ2	
A4QPH0	
A6NND8	
A8K574	
A2NUW5	
A7LNF3	
I6M549	
A8K5Z4	
E5RGB6	
O98012	
D3YTJ0	
Q0EFD1	
Q14801	
Q05D21	
Q19UJ4	
P79548	
J3KRB9	
Q29RW5	
O14992	
Q2F833	
Q53FC8	NP_002544.1;NP_859531.1;
Q06BS4	
Q6EMV4	
Q6P183	NP_055906.2;
Q6ZMH1	
Q6ZS47	
Q67AU4	
Q8NHL1	
J3KSB2	
Q8WLR6	
Q96KF9	
Q56SH7	
Q4QQH3	NP_001106271.1;
Q8WXL7	
Q9H2J6	
Q6ZPB2	
B2DG02	
Q9NXC8	
B2RCJ2	
B2CB40	
B2RBW9	
Q8IVX9	
B3CJ63	
V9GYG2	
B3KN82	
B3KPV2	
B3KMT9	
B3KTB3	
B4DDS4	
B4DE88	
B4DFM2	
B4DG81	
B4DI41	NP_001191066.1;NP_001191067.1;NP_001191069.1;XP_005258322.1;XP_006722520.1;XP_006722521.1;XP_006722522.1;
B4DRB9	
B4DKI2	
B4DSQ1	
B4DLD2	
B4DWX1	
B4DVN9	
B4DVY9	
B4DZX6	
B4DTH4	
B4E0E7	
B3KS04	
B4DXW6	
B5AFW5	
B7Z1N1	
B7Z1Q3	NP_004032.2;NP_064647.1;
B7Z658	
B4DSS4	NP_001273308.1;NP_001273309.1;NP_115824.1;
B7Z5D6	
B7Z884	
B7Z770	XP_005267764.1;
B9A053	
B7Z8H7	
C4PKA2	
B7Z9N5	
B7Z262	
B7Z5X4	
B4YBV5	
C0LNY0	
B6EC96	
B7Z649	
C8CJD3	
C9J370	
C8XV66	
C9JSB2	
E5RHI1	
C9JJK9	
C9J6L4	
C9JI39	
C9WEN1	
C9JP65	
D1MYZ2	
D2SSK6	
D3JTA1	
D3U448	
C9J0J5	
C9JQN2	
D3VVD2	
D3VVG4	
D3U451	
C9JYV0	
C8CJB9	
B9A6M7	
D6RJG6	
D6MJJ2	
D7GNB0	
D3YRI8	
D7NPM6	
D6QZA3	
D4HP93	
D3U485	
D6RBB1	
D6MLG1	
D5FIG0	
H3BV57	
H3BUA7	
D3TTZ7	
H7C255	
H3BME5	
H7C4L6	
H7BZA1	
H7C1A8	
H3BTZ8	
H6SSQ2	
H8WV98	
H3BQ88	
H9BYR9	
H9M4B2	
I3L0W4	XP_005256489.1;
I3L413	
I3L500	
I3L4B7	
I3L4E5	
I4EPJ1	
I6S3U2	
I7A6W0	
I3Q6Q2	
J3QRU5	
J7K3I9	
J7F4Z5	
J9PW12	
K4MTH0	
K4RGV3	
K7EQN7	
K7ES94	
K7EMP7	
K7P5S2	
K7EPX1	
K7EQ14	
J9UP97	
K9LC36	
L0BWY7	
L8ECD4	
M0QZ67	
M0QZH6	
M1FYE3	
M0QZL0	
M0QY20	
M9P9X0	
M0R0B6	
M9P9K6	
R4QGK3	
R4QGI8	
R4QU36	
R4X5Z8	
S6BAP4	
S5UGG7	
S5U3G8	
S6B294	
U3N4F2	
U5XH23	
U5ISA9	
U5YBV5	
V5L5N9	
V5NRB3	
V9SBU0	
X2C0J7	
X5DRF6	
X6RDQ1	
M1F358	
L8E8Z0	
M9P8Q7	
M9PAE4	
M9PAC6	
M9P9T0	
S0F3B9	
R9QDZ0	
S4R322	
T1R368	
U5YCV9	
U5YEV2	
V5LER4	
V5UUM3	
V5NRG5	
X2BYH4	
X6RM00	
I7F465	
J3QRV0	
J3QS29	
J3QKU3	
J7K3H7	
J9V8A4	
K7EKQ7	
K7EIU2	
K7ESB9	
K7EQ67	
K7EK00	
K7ER91	
K7P5L4	
K7WK01	
K7P5W3	
K9LII5	
L8E792	
L8ECI6	
L8EBH1	
M0R259	
M0R2D3	
M1F373	
M4MEZ9	
M0QZP8	
M0QXB1	
M0R089	
M9P978	
M9P9T8	
N0A908	
M4PPE1	
R4S840	
R4I4E4	
V9GWR4	
W6E995	
W6AX83	
V5LET0	
W8GJG8	
X6RGJ2	
D9UAV8	
D9IWN2	
D9IWL5	
E0WBX7	
E1NZ90	
E0X9L2	
E2D5T3	
E1U1M9	NP_001245182.1;
E3W988	
E4W3V3	
E5AXX6	
E2GJG0	
E3Q0X3	
E5E0K7	
E5RJW9	
E5RK24	
E5RK06	
E7EUU4	
E9PI74	
E9PR52	
E5RIR3	
E9PM30	
H3BTP7	
E9PRQ6	
A0A0A0MTD5	
H7C167	
H3BR32	
E9PQQ7	
E9PI79	
E9ABX8	
A2A2R0	
E9PP54	
F1C3H0	
H7C0G1	
E9PM05	
F1AQR4	
F2VNF1	
E9PI14	
F4NBW6	
F4MHP5	
F4MHJ4	
F4YZT2	
F5GXZ8	
H7BZX3	
F4YU88	
F6KRX6	
J3KT07	
H3BT15	
Q5SP00	
J3KRC0	
J3KT25	
Q5T9K0	
Q5TBF5	
F5H7E4	
B1ALB7	
J3KT36	
F8R1C8	
Q5SSR2	
F8VTB3	
F8WBY6	
F8WA85	
J3KRX4	
F8VZG4	
F8WEV7	
F8TI99	
F8RHL9	
F8WDH0	
F8WCX8	
F6N1T4	
F8R105	
F8VX63	
G0TQY3	
G1EN07	
G1EPF6	
G1EQG4	
G1EPK0	
G1EQ98	
F8VRX4	
G1EP14	
Q5T6P2	
Q5T471	
G3V374	
Q5TG81	
G3V480	
G3V257	
G8JLH2	NP_001274447.1;
G9HW52	
G9HWC2	
G9LGA9	
G9HW37	
O75372	
O94794	
Q14552	
P79559	
Q67AH7	
Q66LN6	
Q30128	
Q59FQ0	
Q6IVJ2	
Q68DR3	
Q7M4L9	
Q6P5R1	
Q6MZN9	
Q6ZV39	
Q59FW3	
Q7Z513	NP_065714.1;
Q7Z3Y4	
Q7Z5C6	
Q8TAV6	
O14762	
Q99696	
Q96F93	
Q5U0C3	
Q9UMB6	
A0AUJ2	
A1DSX8	
Q9TQC3	
Q95IA1	
Q8IZL0	
Q8NAG5	NP_068758.3;
A2NWX4	
Q9NRC3	
A1L377	
Q9BCQ0	
A1DTE9	
A5JSF8	
A6NDA1	
A8K0D0	
A8K6N9	
A8K7X9	
B0AZL8	
A8K4F5	
A8K948	NP_001180291.1;NP_001180292.1;
A5PHT3	
Q0IJ46	
Q16191	
Q0E5G8	
Q4W252	
Q2VIL4	
Q3MI88	
Q53F64	
Q504X8	NP_006676.1;
Q14BD4	
Q2HKK5	
Q59EI4	
Q53GE2	
Q1EHW1	
Q6MZQ6	
Q4ZG93	
Q53EX5	
Q0PQ41	
Q53G72	
Q53EX3	
Q7Z5C1	NP_004516.2;
Q658P7	
Q8NC18	
Q9GJ45	XP_006726200.1;
Q96P89	
Q9BCN6	
Q6MZX7	
Q8MH20	
Q9GJG4	
A9QUT7	
V9GYJ0	
Q8NEZ8	
V9GYQ5	
Q53GW1	
B2RBR4	NP_001244110.1;
B1B5Q9	
B3GPJ3	
B3KMU4	
B3KN33	
B3KRN5	
B3KTT6	
B3KSZ8	
B2XJF7	
B3KS56	
B3KSD8	
Q9H8R6	
B3KWG6	NP_002262.3;
B3KUE2	
B3KWS2	
B3KQP7	
B4DNS3	
B4DN83	NP_001129626.1;NP_004440.1;
B4DQV1	
B4DRH7	NP_001153805.1;
B4DS22	XP_005245428.1;
B4E086	
B3KRJ2	
B4E0Q6	
B4DT51	NP_001269262.1;
B4DSF3	
B4DG73	
B4DLF4	
B4E125	
B4DPP6	
B4E253	
B4E1D3	
B4DVS3	
B4DHT2	
B4DWT8	XP_005251258.1;
E5RFX0	
B4E1I2	
B4DUX0	
B4DJK2	
E5RG49	
B4DQ80	NP_001265117.1;
A0A075B706	
B5U8C8	
O14860	
O14847	
Q16427	
Q14760	
O78167	
Q30158	
