INTERACTOR1	INTERACTION_TYPE	INTERACTOR2	PMID
AURKB	CATALYSIS	APC3*	12925766;14767480;15249581;16571674;17956729
ECSIT	CATALYSIS	NDUFS7	15526035;16200211;16218961;17344420;20025615;20816094
CK2_beta_*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CSN1*	10023660;12820959;15071497;15340381;15688063;16039586;17143292;19352404;19366350;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21411632;22682247;22730322;23343194;7641885
CDC14A	CATALYSIS	E-Cadherin*	15279786;17303408;17660363;18590585;20144767;7575488
ECSIT	CATALYSIS	NDUFS8	15526035;16200211;16218961;17344420;20025615;20816094
ECSIT	CATALYSIS	NDUFS5	15526035;16200211;16218961;17344420;20025615;20816094
ECSIT	CATALYSIS	NDUFS6	15526035;16200211;16218961;17344420;20025615;20816094
ECSIT	CATALYSIS	NDUFS3	15526035;16200211;16218961;17344420;20025615;20816094
AIFM1	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFA12	15526035;16200211;16218961;17344420;20025615;20816094
PKA_R*	CATALYSIS	_beta_-Catenin*	21303971;21506126;22094462
ECSIT	CATALYSIS	NDUFS4	15526035;16200211;16218961;17344420;20025615;20816094
AIFM1	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFA13	15526035;16200211;16218961;17344420;20025615;20816094
ECSIT	CATALYSIS	NDUFS1	15526035;16200211;16218961;17344420;20025615;20816094
ECSIT	CATALYSIS	NDUFS2	15526035;16200211;16218961;17344420;20025615;20816094
SUR-8*	UNKNOWN_CATALYSIS	SOS*	11023813;11226259;17496910;19289794;19541618;19565474
E2F4	NEGATIVE_INFLUENCE	UDG1A*	N/A
PI3KC1-regulator*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	PI3KC1-catalytic*	12040186;16847462;19568798
AXIN1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	FRAT1	10428961;16288291;16940750;19751508;22270359;8666229
HMGA2	PHYSICAL_STIMULATION	SNAI2	11074002;12490555;14623871;16510505;16831886;17093497;17550342;18832382;20731704;21199805;21317430;22406545;9389648
E2F1_alone	POSITIVE_INFLUENCE	UBB	15897325
HMGA2	PHYSICAL_STIMULATION	SNAI1	11074002;16617148;16831886;17563753;17671186;18832382;20731704;21317430;22406545;9389648
ATR	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	ATRIP	11877377;11900249;12648680;12766152;12875843;14726013;15459660;15703371;15743907;15798197;16530042;16697054;16713580;16880517;16885023;16934469;17102137;17116885;17141802;17296725;17303408;17384638;17582221;17884153;18451105;18543256;18677104;18931676;18995830;19158510;19282663;19622404;19686080;19793801;19809470;19847258
APC11*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BUB1	10477750;11402067;11535616;12640463;15024386;15279786;15592459;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;7575488;8824189;9790499
HRAS_GAPs*	UNKNOWN_TRANSITION	RASA1	N/A
APC11*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BUB3	10477750;11402067;11535616;12640463;15024386;15279786;15592459;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;7575488;8824189;9790499
SMO	UNKNOWN_CATALYSIS	AKT*	17641202;17688959;18820483;18997815;19549984;19592253;20016067;20643644;20956384;21209912
CDC20	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MAD2*	10477750;11402067;11535616;12640463;15024386;15279786;15592459;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;7575488;8824189;9790499
p38*	CATALYSIS	MAX	11274345;12738796;15187187;18039929
MLST8	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	DEPDC6	19446321
FAAP24*	PHYSICAL_STIMULATION	RAD50	12535671;12972610;14988723;15136767;16697054;18550849;18931676;19282663;19622404;19686080;19772495;19847258;20832754;21948210;22266823;22615860;22657828;23253856;23444773;24089143;24095737;8020957
CK2_beta_*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CSN2*	10023660;12820959;15071497;15340381;15688063;16039586;17143292;19352404;19366350;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21411632;22682247;22730322;23343194;7641885
TFIIH3*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	XPB*	11900249;12648680;12947387;15459660;15703371;16697054;17102137;17116885;17296725;17386261;17582221;17884153;18677104;19473888;19595721;19596235;19596236;19667075;19686080;19793801;19809470;19847258;20211143;21376743;22101340;22257761;22373527;22743550;22824526;23085398;24050180;7533895
RAC1	PHYSICAL_STIMULATION	BAIAP2	11152757;12054568;12480336;16212495;16702231;9843499
Cadherin*	UNKNOWN_TRANSITION	VE-Cadherin*	N/A
FANCG	PHYSICAL_STIMULATION	MRE11*	12535671;12972610;14988723;15136767;16697054;18550849;18931676;19282663;19622404;19686080;19772495;19847258;20832754;21948210;22266823;22615860;22657828;23253856;23444773;24089143;24095737;8020957
SMAD2	TRANSCRIPTION	GADD45*	21614932
TGFBR1	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	TGFBR2	10678166;11013220;11133108;11274345;11278410;11792802;12154066;12547828;12604349;12717440;12724770;12738796;12809600;14557817;15548370;15761148;15761153;16474430;17934056;18855897;19010789;19017651;19050695;19920116;20060931;20152177;20519943;21572392;21614932;21900405;22315516;22710166;22943793;22949611;9865696
BUB1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BUBR1*	10477750;11402067;11535616;12640463;15024386;15279786;15592459;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;7575488;8824189;9790499
SMAD4	TRANSCRIPTION	GADD45*	21614932
GSK3*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;KNOWN_TRANSITION_OMITTED	LRP5_6*	11226259;11448771;12050670;14704854;14747478;15265686;15618519;16443747;16547521;16965538;17127310;17143292;17426148;17430994;17569865;17884187;18077588;18497258;19020754;19029934;19056682;19072724;19366350;19561074;19565474;19581931;19705439;19718039;19853559;20006983;20059949;20093472;20229235;20460648;20627573;20843316;20940130;210606194;21087212;21285348;21304492;21498506;21602792;21606194;21640127;21727895;21796133;21829496;21909076;22007144;22017973;22433869;23022962;52226983;7641885;8655584
ITGA5	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	NISCH	11121431;15157156;15229651;19161977;19487819
SMAD3	TRANSCRIPTION	GADD45*	21614932
E2F6	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	EHMT1	12004135;15126619;15536069
AP2_beta*	PHYSICAL_STIMULATION	RACK1*	18953287;19910923;20947020;21397842
CK2_beta_*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CSN3*	10023660;12820959;15071497;15340381;15688063;16039586;17143292;19352404;19366350;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21411632;22682247;22730322;23343194;7641885
MEK*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	SEF*	15187187;15239952;15547943;17178906;18039929;18775330;19114553;19541618;19565474
FZD*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	ROR2	11226259;11274345;11779461;12533515;12839624;12941693;14704854;14747478;14960582;15265686;15375164;15388793;15618519;16263762;16604063;17030191;17127310;17244647;17430994;17884187;17986005;18000759;18256687;18497258;18606138;18762249;18851840;18953287;19020754;19151919;19366350;19379695;19565474;19577357;19853559;19910923;20006983;20093472;20215527;20351293;20457807;20579883;20930545;20947020;21069266;21078818;21087212;21262816;2126816;21316585;21380625;21397842;21640127;21796133;22017973;22037766;7641885;8655584
YWHAQ	STATE_TRANSITION	14-3-3*	N/A
active~NRF*	CATALYSIS	TFAM	15684387;18846505;8108407
CDC20	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MAD1*	10477750;11402067;11535616;12640463;15024386;15279786;15592459;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;7575488;8824189;9790499
MIR29B*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	HRK	21245165
MMP2*	CATALYSIS	TGFB1	21900405
GSK3*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	APC2*	11226259;11274345;11779461;12533515;14704854;14747478;15265686;15375164;15388793;15618519;16263762;17127310;17884187;17986005;18000759;18256687;18497258;18851840;18953287;19020754;19151919;19366350;19565474;19853559;19910923;20006983;20093472;20215527;20351293;20947020;21069266;21078818;21087212;21316585;21380625;21397842;21796133;22017973;7641885;8655584
E1*	CATALYSIS	GLI3-190*	12820959;15340381;16740475;19352404;20360384
YWHAZ	STATE_TRANSITION	14-3-3*	N/A
RAD1	INHIBITION	ORC5*	14726013;15459660;15703371;16697054;16885023;17102137;17116885;17296725;17303408;17493829;17582221;19793801;19847258;20478261;8943031;9524127
BAF57*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BRG1*	17666529;21358755;22290435;22761862
DVL*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	HSP70*	17143292;17588722;20006983
G_beta_*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	EDNRA	21640127;9588211
CyclinH*	CATALYSIS	p27KIP1*	12459251;12814430;16782892
14-3-3*	STATE_TRANSITION;UNKNOWN_TRANSITION	YWHAB	N/A
YWHAG	STATE_TRANSITION	14-3-3*	N/A
YWHAH	STATE_TRANSITION	14-3-3*	N/A
YWHAE	STATE_TRANSITION	14-3-3*	N/A
NDUFAF1	CATALYSIS	NDUFA6	15526035;16200211;16218961;17344420;20025615;20816094
NDUFAF2	CATALYSIS	NDUFA6	15526035;16200211;16218961;17344420;20025615;20816094
TAOK*	CATALYSIS	MAP2K4	11274345;12738796;18855897;21614932
MMP2	STATE_TRANSITION	MMP2*	23691193;24376839
E2F1_alone	POSITIVE_INFLUENCE	NRP1	17178835
TFIIH3*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	XPD*	11900249;12648680;12947387;15459660;15703371;16697054;17102137;17116885;17296725;17386261;17582221;17884153;18677104;19473888;19595721;19596235;19596236;19667075;19686080;19793801;19809470;19847258;20211143;21376743;22101340;22257761;22373527;22743550;22824526;23085398;24050180;7533895
_beta_-Catenin*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CUL1	10023660;12820959;14536078;15071497;15147722;15340381;15489953;15688063;16039586;16371461;16611981;16651270;17053147;17143292;18636226;18787170;18813803;19143635;19352404;19366350;19576224;19597341;19619488;19797085;19849719;20006983;20558317;20832730;20843316;20976471;21411632;22682247;22730322;23343194;7641885
MIR221	INHIBITION	p27KIP1*	18521080
GZMB	CATALYSIS	cleaved~MCL1*	15637055;15713684
Desmocolin*	UNKNOWN_TRANSITION	Desmocolin1*	N/A
CK2_beta_*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CSN4*	10023660;12820959;15071497;15340381;15688063;16039586;17143292;19352404;19366350;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21411632;22682247;22730322;23343194;7641885
active~NRF*	CATALYSIS	SDHC	15004004
RPTOR	CATALYSIS	IDH3A	18046414
BAIAP2	PHYSICAL_STIMULATION	WASF2	12054568;16702231;9843499
ITGA5	UNKNOWN_CATALYSIS	CFL1	10461188;10559936;10613909;11340065;11413130;11950587;15866889;17522712;19161977;19487819;22154077;9003039
aVb3*_aVb5*	UNKNOWN_TRANSITION	ITGAV	N/A
BAF53A*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	YL1*	17320397
p70_alpha_*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	REF*	10786854;11108711;11532962;12522211;16286006;18423201;19339977;20647036
UAF1*	CATALYSIS	PCNA	18082604;18082605;18931676;19075014;19217432;19264559;19622404;19686080;23589330
E2F1_alone	POSITIVE_INFLUENCE	RBM25	15897325
DVL2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	RIPK4	16273260;23371553
TMEM70	CATALYSIS	ATP5A1	11410595;14701807;14757859;18953340
cleaved~Caspase8*	CATALYSIS	ABL1	12665579
_beta_-Catenin*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;INHIBITION;PROTEIN_INTERACTION	CTBP*	10756197;11274345;12711682;15327769;15834423;16039586;16510874;16547505;17143292;17439715;17666529;18974774;19619488;19623618;19751731;19901072;20006983;20107328;20920541;21285352;21416054;22290435;22761862;23343194;8545107
CK2_beta_*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CSN5*	10023660;12820959;15071497;15340381;15688063;16039586;17143292;19352404;19366350;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21411632;22682247;22730322;23343194;7641885
Plakoglobin binding partners*	UNKNOWN_TRANSITION	P-Cadherin*	N/A
ITGB1	UNKNOWN_CATALYSIS	CFL1	10461188;10559936;10613909;11340065;11413130;11950587;15866889;17522712;19161977;19487819;22154077;9003039
PARD6A	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	SMURF1	14657501;14744429;15761148;21572392;22949611
MyosinII*	UNKNOWN_TRANSITION	MYH6	N/A
CREB1	TRANSCRIPTION	EGR1	19815709
E2F4	UNKNOWN_TRANSITION	AURKB	15033491
FANCG	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	FANCL	11900249;12535671;12648680;12972610;15459660;15703371;16697054;17102137;17116885;17296725;17582221;17884153;18550849;18677104;18931676;19282663;19622404;19686080;19772495;19793801;19809470;19847258;20832754;21948210;22266823;22615860;22657828;23253856;23444773;24089143;24095737;8020957
XPF*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	TFIIH3*	11900249;12648680;12947387;15459660;15703371;16697054;17102137;17116885;17296725;17386261;17582221;17884153;18677104;19473888;19595721;19596235;19596236;19667075;19686080;19793801;19809470;19847258;20211143;21376743;22101340;22257761;22373527;22743550;22824526;23085398;24050180;7533895
FANCM	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	FANCG	11900249;12535671;12648680;12972610;15459660;15703371;16697054;17102137;17116885;17296725;17582221;17884153;18550849;18677104;18931676;19282663;19622404;19686080;19772495;19793801;19809470;19847258;20832754;21948210;22266823;22615860;22657828;23253856;23444773;24089143;24095737;8020957
HIP1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	HTT	11788820
FZD*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	RSPO3	11226259;11274345;11779461;12533515;14704854;14747478;15265686;15375164;15388793;15618519;16263762;17127310;17884187;17986005;18000759;18256687;18497258;18851840;18953287;19020754;19151919;19366350;19565474;19853559;19910923;20006983;20093472;20215527;20351293;20947020;21069266;21078818;21087212;21316585;21380625;21397842;21796133;22017973;7641885;8655584
CK2_beta_*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CSN6*	10023660;12820959;15071497;15340381;15688063;16039586;17143292;19352404;19366350;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21411632;22682247;22730322;23343194;7641885
ATM	CATALYSIS	EXO1	11438669;11877377;12607003;15459660;15867354;15964794;16163361;17303408;18048416;18756267;20019063;23847781
SUR-8*	UNKNOWN_CATALYSIS	MEK*	11023813;11226259;17496910;19289794;19541618;19565474
AKT*	CATALYSIS	STX4	15753124
Desmocolin*	UNKNOWN_TRANSITION	Desmocolin3*	N/A
PXN	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	Talin*	12473693;14749719;15094799;15308668;15688067;16000375;18829532;9819392
BCL2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	HRK	9130713
FANCG	CATALYSIS	FANCI	12535671;12972610;16697054;18550849;18931676;19282663;19622404;19686080;19772495;19847258;20832754;21948210;22266823;22615860;22657828;23253856;23444773;24089143;24095737;8020957
BIRC5	CATALYSIS	APC8*	12925766;14767480;15249581;16571674;17956729
G_gamma_*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	LGR5	14704854;14747478;15265686;16443747;17127310;17143292;17430994;17884187;19020754;19029934;19072724;21640127;21727895;21829496;21909076;22007144;22017973;22433869;7641885;8655584
_beta_-actin*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BRG1*	17666529;21358755;22290435;22761862
PTPN11	HETERODIMER_ASSOCIATION	SOS*	N/A
TNFRSF1A	CATALYSIS	MAP2K6	11274345;12655147;12738796;18855897;21614932
TNFRSF1B	CATALYSIS	MAP2K6	11274345;12655147;12738796;18855897;21614932
TRAF2	CATALYSIS	MAP2K7	11274345;12655147;12738796;18855897;21614932
RIPK3	CATALYSIS	GLUD1	19498109
CDK1	CATALYSIS	APC12*	12124778;15279786;15917306;17303408;17660363;18590585;19652693;7575488
CDK2	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	APC12*	15279786;17303408;17660363;18590585;7575488
MRE11*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;MODULATION	H2AFX	11850621;11877377;11927554;12239151;12551922;12556884;12607003;14726013;15279786;15459660;15703371;15964794;16163361;16332722;16531125;16697054;16858402;17303408;17660363;18006705;18082604;18082605;18085520;18087292;18583988;18584027;18590585;18678890;18809224;18931676;19075014;19151707;19217432;19264559;19622404;19686080;19772495;19793801;19847258;20029420;20723763;21060331;21337561;21376743;21574959;22101340;22743550;22751496;23444773;23847781;24050180;7575488;9407949;9488723
ERK*	CATALYSIS	MLST8	19339977
TRADD	CATALYSIS	MAP2K7	11274345;12655147;12738796;18855897;21614932
CK2_beta_*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CSN7*	10023660;12820959;15071497;15340381;15688063;16039586;17143292;19352404;19366350;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21411632;22682247;22730322;23343194;7641885
FZD*	CATALYSIS;HETERODIMER_ASSOCIATION;POSITIVE_INFLUENCE	TAB1	11274345;14960582;18762249;18855897;19136967
LEF1_TCF3_4*	PHYSICAL_STIMULATION	Claudin2*	11955436;11967263;12051714;15151915;16940750;19751508;22270359;7542250;8666229
PXN	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CRK	12432077;15308668;16000375;9808620
FANCD2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	XRCC2	10858305;10931916;11571269;11877377;12947387;15220350;15459660;15590677;15650050;16697054;18660752;18931676;19473888;19525936;19622404;19686080;19759212;19772495;19793801;19847258;20029420;20081207;20376879;20723763;20813759;21060331;21337561;22505525;22751496;23444773
FZD*	CATALYSIS;HETERODIMER_ASSOCIATION	TAB2	11274345;18762249;18855897;19136967
FANCD2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	XRCC3	10858305;10931916;11571269;11877377;12947387;15220350;15459660;15590677;15650050;16697054;18660752;18931676;19473888;19525936;19622404;19686080;19759212;19772495;19793801;19847258;20029420;20081207;20376879;20723763;20813759;21060331;21337561;22505525;22751496;23444773
p27KIP1*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CyclinE*	10385618;11124803;12459251;14536078;15147722;18006823;18414028;18636226;19887899;9106657
DKK1	HETERODIMER_ASSOCIATION	RSPO1	17804805
DNA-PK*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	XRCC4	12471202;15703371;16439205;16697054;17088286;18077224;19346677;19473888;196269035;19772495;19808869;19847258;20691907;21175350;21211721;21270334;21300785;21376743;22055391;22469522;22713970;22743550;23178593;24050180;9242410
FOXO1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	RUNX2	15668399;20580290;20946121;21505104
NDUFAF2	CATALYSIS	NDUFA11	15526035;16200211;16218961;17344420;20025615;20816094
NDUFAF1	CATALYSIS	NDUFA11	15526035;16200211;16218961;17344420;20025615;20816094
Laminin 1 partners*	UNKNOWN_TRANSITION	ITGA3	N/A
EGFR family*	CATALYSIS	HRAS	17496910;17673906
MEK*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	IMP*	14724641;15547943;17178906;17496910;19541618;19565474
RFC*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	EXO1	11438669;11900249;12648680;14676842;14726013;15459660;15474417;15703371;16697054;17102137;17116885;17296725;17582221;17884153;18048416;18087292;18584027;18677104;18756267;18809224;19490890;19772495;19793801;19809470;19847258;20019063;20478261
NDUFAB1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	NDUFA6	N/A
CK2_beta_*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CSN8*	10023660;12820959;15071497;15340381;15688063;16039586;17143292;19352404;19366350;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21411632;22682247;22730322;23343194;7641885
ATP5B	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MT-ATP6	11744738;12110673
XPG*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	TFIIH3*	11900249;12648680;12947387;15459660;15703371;16697054;17102137;17116885;17296725;17386261;17582221;17884153;18677104;19473888;19595721;19596235;19596236;19667075;19686080;19793801;19809470;19847258;20211143;21376743;22101340;22257761;22373527;22743550;22824526;23085398;24050180;7533895
SOS*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MAP3K1	11274345;11777939;12040186;12738796;12782630;14585353;15574420;16488589;17496910;18855897;19568798;19615955;21102635;21614932
ATP5B	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MT-ATP8	11744738;12110673
GLI1	CATALYSIS	IGFBP6	11001584;11960000;12138125;14555646;15087129;15520176;16054035;16158046;16328026;16396903;16406505;16571352;16880536;17000779;17035233;18813803;19190345;19219074;19736394;20107231;21059263;21442356
CTSB	CATALYSIS	cleaved_BID*	11404357;11940658;17264306;18469004
FZD*	CATALYSIS;HETERODIMER_ASSOCIATION;POSITIVE_INFLUENCE	TAK1*	11274345;14960582;18762249;18855897;19136967
TMEM70	CATALYSIS	ATP5J2	11410595;14701807;14757859;18953340
LEF_TCF*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BCL9	11274345;11929833;11973335;12711682;15060161;15208637;15327769;15337521;15576399;15768032;15806138;15834423;16007074;16039586;16169192;16510874;16547505;16554443;17050667;17143292;17291450;17306568;17439715;17565603;17666529;18347071;18627596;19619488;19623618;19751731;19901072;20006983;20107328;20122174;20530697;20920541;21151179;21285352;21416054;21767405;22020335;22290435;22705350;22761862;23296977;23306204;23343194;8545107
RACK1*	CATALYSIS	BimEL*	18420585
WNT*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	DAAM1	11226259;11779461;14704854;14747478;15265686;15618519;17127310;17884187;18256687;18497258;18851840;19020754;19366350;19565474;19853559;20006983;20351293;22017973;7641885;8655584
CK1*	CATALYSIS	GLI2-185*	16371461;16611981;18455992;19797085;21233202;21536646;7641885
GSK3*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	_beta_-Arrestin2*	11030334;11226259;11274345;11402342;11448771;11779461;12050670;12533515;12839624;12941693;12958364;14704854;14747478;14960582;15265686;15375164;15388793;15618519;16263762;16443747;16547521;16604063;16965538;17030191;17127310;17143292;17244647;17426148;17430994;17569865;17884187;17986005;18000759;18077588;18256687;18497258;18606138;18762249;18851840;18953287;19020754;19029934;19056682;19072724;19151919;19366350;19379695;19561074;19565474;19577357;19581931;19685005;19705439;19718039;19853559;19910923;20006983;20059949;20093472;20215527;20229235;20351293;20457807;20460648;20579883;20627573;20628572;20843316;20930545;20940130;20947020;210606194;21069266;21078818;21087212;21262816;2126816;21285348;21304492;21316585;21380625;21397842;21498506;21602792;21606194;21640127;21709260;21727895;21796133;21829496;21909076;22007144;22017973;22037766;22433869;23022962;52226983;7641885;8655584;9932450
MDC1	CATALYSIS	DNA-PK*	11850621;11877377;12607003;15279786;15459660;15703371;15964794;16163361;16531125;16697054;17303408;17660363;18006705;18087292;18583988;18584027;18590585;18678890;18809224;19346677;19473888;19772495;19793801;19808869;19847258;20691907;20723763;21175350;21300785;21376743;22743550;23847781;24050180;7575488;9407949;9488723
SESN2	CATALYSIS	PKA_R*	15509864;15980064;16054095;16054096;17244528;18692468;19197243
MLX	CATALYSIS	PFKFB3	11744734;16782875;17143338
SESN1	CATALYSIS	PKA_R*	15509864;15980064;16054095;16054096;17244528;18692468;19197243
ZO1*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	LYRIC*	15383321;15558297
ERK*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MEK*	11226259;11274345;11777939;12040186;12479806;12738796;12782630;14585353;15187187;15239952;15547943;15574420;15618519;16227978;16488589;16525728;17178906;17496910;18039929;18497258;18775330;19091303;19114553;19289794;19541618;19565474;19568798;19615955;19853559;21102635;8381049
GSK3*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CTHRC1	11226259;11274345;11779461;12533515;12839624;12941693;14704854;14747478;15265686;15375164;15388793;15618519;16263762;16604063;17030191;17127310;17244647;17430994;17884187;17986005;18000759;18256687;18497258;18606138;18851840;18953287;19020754;19151919;19366350;19379695;19565474;19853559;19910923;20006983;20093472;20215527;20351293;20457807;20579883;20930545;20947020;21069266;21078818;21087212;21316585;21380625;21397842;21640127;21796133;22017973;22037766;7641885;8655584
XRCC1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	POLB	10858306;11163244;11948190;12032095;12202749;12637553;14726013;15385537;15385968;15703371;16442856;16449207;16697054;17088286;17116323;17638872;17965729;18398454;18524993;18558713;18584027;18809224;19208614;19364882;19490890;19546231;196269035;19748837;19847258;20064462;20211143;20227374;20510258;20603072;20691907;21251944;21270334;21376743;22055391;22469522;22657828;22713970;22743550;22921416;22973052;23082994;23145148;23161013;23253856;23562323;23568489;24036544;24050180;24210699;8264637;8978692
CSN1*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	PKD*	10023660;12820959;15071497;15340381;15688063;16039586;17143292;19352404;19366350;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21411632;22682247;22730322;23343194;7641885
RIPK1	CATALYSIS	MAP2K7	11274345;12655147;12738796;18855897;21614932
KRM*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	DKK3	20370576
IFT122	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	WDR19	12906858;17641202;18559511;19286674;19334287;19996169;20360384;20889716
E2F2_alone	POSITIVE_INFLUENCE	TP53BP2	15731768
CK1_epsilon_*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	LGR5	14704854;14747478;15265686;16443747;17127310;17143292;17430994;17884187;19020754;19029934;19072724;21640127;21727895;21829496;21909076;22007144;22017973;22433869;7641885;8655584
E2F4	UNKNOWN_TRANSITION	MLH1	11799067
PDPK1	CATALYSIS	p70_alpha_*	11500365;16286006;17680028;18802401;20932932
MIR106B_25*	UNKNOWN_TRANSITION	MIR93	N/A
IRAK1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	TRAF6	11274345;12738796;18855897;21614932
PKA_R*	CATALYSIS	PFKFB3	16115917;17712357
FANCG	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	XRCC3	16697054;18212739;18931676;19622404;19686080;19772495;19847258;22266823
cleaved_BID*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	BCL2A1	N/A
